apple, phōng-kó
banana, keng-chio
batman, iā-pô-jîn
bus, kong-chhia
car, chhia
cat, niau
chicken, ke
dog, káu
duck, ah
egg, ke-nn̄g
fox, hô͘-lî
godzilla, go͘-jì-lah
goose, gô
hippo, hô-bé
hot dog, ian-chhiâng-kauh
hot, joa̍h
ice cream, ke-nn̄g-peng
ice, peng
lego, lé-gò͘
minecraft, mái-khu-lé
pineapple, ông-lâi
pizza, phí-chah
police car, kéng-chhat chhia
police, kéng-chhat
school bus, hāu-chhia
school, ha̍k-hāu
superman, chhiau-jîn
zoo, tōng-bu̍t-hn̂g
bat, iā-pô
juice, kó-chiap
kangaroo, tē-chhí
kite, hong-chhoe
lemon, lê-bóng
lion, sai-á
queen, lú-ông
rainbow, khēng
rain, hō͘
temple, biō
tiger, hó͘
tomato, kam-á-bi̍t
train, hóe-chhia
umbrella, hō͘-sòaⁿ
volcano, hóe-soaⁿ
window, thang-á
